"행정구역","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시 성동구 성수1가제1동(1120065000)","16,244","7,440","          2.18","8,122","8,122","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","13,185","6,306","          2.09","6,474","6,711","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","16,256","8,188","          1.99","8,518","7,738","          1.10"
"서울특별시 성동구 성수2가제3동(1120069000)","10,923","5,506","          1.98","5,530","5,393","          1.03"
"서울특별시 성동구 송정동(1120072000)","10,524","5,410","          1.95","5,542","4,982","          1.11"
"서울특별시 성동구 용답동(1120079000)","11,526","6,638","          1.74","6,068","5,458","          1.11"
"서울특별시 광진구 (1121500000)","341,534","163,402","          2.09","164,828","176,706","          0.93"
"서울특별시 광진구 화양동(1121571000)","22,178","16,646","          1.33","10,492","11,686","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,625","10,911","          1.80","9,677","9,948","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,519","8,119","          1.91","7,555","7,964","          0.95"
"서울특별시 광진구 중곡제2동(1121575000)","21,644","10,392","          2.08","10,260","11,384","          0.90"
"서울특별시 광진구 중곡제3동(1121576000)","16,394","8,339","          1.97","8,145","8,249","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","28,975","12,947","          2.24","14,225","14,750","          0.96"
"서울특별시 광진구 능동(1121578000)","11,426","6,361","          1.80","5,249","6,177","          0.85"
"서울특별시 광진구 광장동(1121581000)","35,065","11,836","          2.96","16,950","18,115","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,413","11,568","          1.94","10,756","11,657","          0.92"
"서울특별시 광진구 자양제2동(1121583000)","25,254","10,915","          2.31","12,330","12,924","          0.95"
"서울특별시 광진구 자양제3동(1121584000)","28,349","10,953","          2.59","13,597","14,752","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,402","9,182","          1.90","8,655","8,747","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","21,744","11,872","          1.83","10,372","11,372","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,591","11,404","          2.33","12,800","13,791","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,955","11,957","          2.42","13,765","15,190","          0.91"
"서울특별시 동대문구 (1123000000)","336,238","162,293","          2.07","166,489","169,749","          0.98"
"서울특별시 동대문구 용신동(1123053600)","30,477","17,844","          1.71","15,438","15,039","          1.03"
"서울특별시 동대문구 제기동(1123054500)","24,415","12,876","          1.90","12,541","11,874","          1.06"
"서울특별시 동대문구 전농제1동(1123056000)","29,441","14,598","          2.02","14,752","14,689","          1.00"
"서울특별시 동대문구 전농제2동(1123057000)","18,893","7,585","          2.49","9,090","9,803","          0.93"
"서울특별시 동대문구 답십리제1동(1123060000)","28,535","12,432","          2.30","13,834","14,701","          0.94"
"서울특별시 동대문구 답십리제2동(1123061000)","28,796","12,530","          2.30","13,964","14,832","          0.94"
"서울특별시 동대문구 장안제1동(1123065000)","38,050","17,771","          2.14","18,888","19,162","          0.99"
"서울특별시 동대문구 장안제2동(1123066000)","32,572","13,677","          2.38","16,298","16,274","          1.00"
"서울특별시 동대문구 청량리동(1123070500)","19,351","9,674","          2.00","9,676","9,675","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,226","6,125","          1.67","4,912","5,314","          0.92"
"서울특별시 동대문구 휘경제1동(1123072000)","13,378","6,993","          1.91","6,464","6,914","          0.93"
"서울특별시 동대문구 휘경제2동(1123073000)","24,038","11,656","          2.06","11,916","12,122","          0.98"
"서울특별시 동대문구 이문제1동(1123074000)","17,888","10,032","          1.78","8,935","8,953","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","20,178","8,500","          2.37","9,781","10,397","          0.94"
"서울특별시 중랑구 (1126000000)","389,270","181,473","          2.15","192,360","196,910","          0.98"
"서울특별시 중랑구 면목제2동(1126052000)","24,499","12,024","          2.04","12,179","12,320","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","18,579","8,716","          2.13","9,231","9,348","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,333","6,172","          2.32","7,222","7,111","          1.02"
"서울특별시 중랑구 면목본동(1126056500)","34,080","17,427","          1.96","16,903","17,177","          0.98"
"서울특별시 중랑구 면목제7동(1126057000)","22,051","10,447","          2.11","11,066","10,985","          1.01"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,174","12,462","          2.02","12,504","12,670","          0.99"
"서울특별시 중랑구 상봉제1동(1126058000)","24,521","10,110","          2.43","11,974","12,547","          0.95"
"서울특별시 중랑구 상봉제2동(1126059000)","19,552","11,428","          1.71","9,507","10,045","          0.95"
"서울특별시 중랑구 중화제1동(1126060000)","19,978","8,929","          2.24","9,790","10,188","          0.96"
"서울특별시 중랑구 중화제2동(1126061000)","25,091","13,484","          1.86","12,877","12,214","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","35,035","14,691","          2.38","16,972","18,063","          0.94"
"서울특별시 중랑구 묵제2동(1126063000)","19,166","9,131","          2.10","9,419","9,747","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","29,899","14,659","          2.04","15,034","14,865","          1.01"
"서울특별시 중랑구 망우제3동(1126066000)","16,861","8,232","          2.05","8,466","8,395","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","39,412","14,595","          2.70","19,188","20,224","          0.95"
"서울특별시 중랑구 신내2동(1126069000)","21,039","8,966","          2.35","10,028","11,011","          0.91"
"서울특별시 성북구 (1129000000)","429,564","189,532","          2.27","207,275","222,289","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,430","7,949","          2.07","7,670","8,760","          0.88"
"서울특별시 성북구 삼선동(1129055500)","23,088","11,332","          2.04","11,028","12,060","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,262","9,087","          1.68","6,410","8,852","          0.72"
"서울특별시 성북구 돈암제1동(1129058000)","15,090","6,082","          2.48","7,069","8,021","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","24,321","8,558","          2.84","11,574","12,747","          0.91"
"서울특별시 성북구 안암동(1129060000)","14,803","9,113","          1.62","7,468","7,335","          1.02"
"서울특별시 성북구 보문동(1129061000)","15,459","7,588","          2.04","7,465","7,994","          0.93"
"서울특별시 성북구 정릉제1동(1129062000)","18,389","7,297","          2.52","8,872","9,517","          0.93"
"서울특별시 성북구 정릉제2동(1129063000)","23,159","9,623","          2.41","11,209","11,950","          0.94"
"서울특별시 성북구 정릉제3동(1129064000)","15,193","7,758","          1.96","7,516","7,677","          0.98"
"서울특별시 성북구 정릉제4동(1129065000)","25,150","10,647","          2.36","12,177","12,973","          0.94"
"서울특별시 성북구 길음제1동(1129066000)","35,948","12,454","          2.89","17,106","18,842","          0.91"
"서울특별시 성북구 길음제2동(1129068500)","16,633","6,805","          2.44","8,048","8,585","          0.94"
"서울특별시 성북구 종암동(1129070500)","39,154","16,931","          2.31","19,327","19,827","          0.97"
"서울특별시 성북구 월곡제1동(1129071500)","26,472","10,541","          2.51","12,812","13,660","          0.94"
"서울특별시 성북구 월곡제2동(1129072500)","19,632","9,377","          2.09","9,432","10,200","          0.92"
"서울특별시 성북구 장위제1동(1129076000)","19,881","8,880","          2.24","9,697","10,184","          0.95"
"서울특별시 성북구 장위제2동(1129077000)","13,453","6,281","          2.14","6,656","6,797","          0.98"
"서울특별시 성북구 장위제3동(1129078000)","16,915","6,873","          2.46","8,369","8,546","          0.98"
"서울특별시 성북구 석관동(1129081000)","35,132","16,356","          2.15","17,370","17,762","          0.98"
"서울특별시 강북구 (1130500000)","302,638","141,564","          2.14","147,505","155,133","          0.95"
"서울특별시 강북구 삼양동(1130553400)","23,999","10,923","          2.20","11,968","12,031","          0.99"
"서울특별시 강북구 미아동(1130553500)","21,874","11,485","          1.90","10,525","11,349","          0.93"
"서울특별시 강북구 송중동(1130554500)","29,742","13,592","          2.19","14,298","15,444","          0.93"
"서울특별시 강북구 송천동(1130555500)","26,866","13,327","          2.02","13,352","13,514","          0.99"
"서울특별시 강북구 삼각산동(1130557500)","31,585","11,407","          2.77","15,206","16,379","          0.93"
"서울특별시 강북구 번1동(1130559500)","18,696","10,200","          1.83","9,390","9,306","          1.01"
"서울특별시 강북구 번2동(1130560300)","16,224","7,502","          2.16","7,861","8,363","          0.94"
"서울특별시 강북구 번3동(1130560800)","17,340","7,412","          2.34","8,182","9,158","          0.89"
"서울특별시 강북구 수유1동(1130561500)","20,822","10,120","          2.06","10,322","10,500","          0.98"
"서울특별시 강북구 수유2동(1130562500)","21,183","9,525","          2.22","10,145","11,038","          0.92"
"서울특별시 강북구 수유3동(1130563500)","23,038","12,599","          1.83","11,388","11,650","          0.98"
"서울특별시 강북구 우이동(1130564500)","20,425","9,261","          2.21","9,962","10,463","          0.95"
